Date,Open,High,Low,Close,Adj Close,Volume,P/N
1/2/2018,295.75,296.98999,295.399994,296.839996,284.569489,2978900,Positive
1/3/2018,295.940002,298.5,295.470001,297.799988,285.489807,3211200,Positive
1/4/2018,297.940002,298.420013,295.470001,296.670013,284.406555,4171700,Negative
1/5/2018,296.769989,308.890015,296.720001,308.839996,296.073425,6177700,Positive
1/8/2018,308.660004,310.859985,305.75,310.149994,297.329315,4124900,Positive
1/9/2018,310.589996,319.910004,310.48999,318.429993,305.266998,5641300,Positive
1/10/2018,317.48999,322.149994,315.5,320.26001,307.021362,4479300,Positive
1/11/2018,322.130005,328.399994,321.190002,328.119995,314.556458,4635300,Positive
1/12/2018,330.380005,336.880005,330.380005,336.209991,322.312012,6559300,Positive
1/16/2018,339.899994,347.730011,331.329987,335.160004,321.305481,12305500,Negative
1/17/2018,337.730011,352.230011,336.410004,351.01001,336.500275,9699900,Positive
1/18/2018,350.700012,350.829987,339.149994,340.160004,326.098785,9458600,Negative
1/19/2018,341.670013,344,335.75,337.730011,323.769226,7264400,Negative
1/22/2018,335.290009,341.380005,332.040009,338,324.028107,6792900,Positive
1/23/2018,338.339996,338.940002,334.809998,335.589996,321.717712,4537800,Negative
1/24/2018,336.200012,338.98999,334.140015,334.690002,320.854889,4205400,Negative
1/25/2018,336.209991,343.619995,335.299988,343.109985,328.926788,4747500,Positive
1/26/2018,344.329987,345.980011,341.25,343.220001,329.032288,5236300,Negative
1/29/2018,341.230011,344.480011,340.100006,340.820007,326.731506,3324900,Negative
1/30/2018,339.170013,339.980011,334.160004,337.709991,323.750061,4983100,Negative
1/31/2018,360.5,360.970001,351.619995,354.369995,339.721344,11409600,Negative
2/1/2018,352.950012,361.450012,352.040009,356.940002,342.18515,6067600,Positive
2/2/2018,354,355.200012,348.700012,348.910004,334.487061,5486100,Negative
2/5/2018,342.670013,350,317.390015,328.880005,315.285065,10511300,Negative
2/6/2018,320,341.670013,317.649994,340.910004,326.81778,11935100,Positive
2/7/2018,340.519989,353.589996,339.869995,348.119995,333.729767,7946700,Positive
2/8/2018,348,349,329.399994,329.660004,317.592834,8295900,Negative
2/9/2018,333.549988,337.809998,319.25,332.829987,320.64682,8833000,Negative
2/12/2018,336.570007,347.75,335.130005,343.799988,331.21524,6885000,Positive
2/13/2018,340.450012,347.880005,340.290009,343.160004,330.598724,4030200,Positive
2/14/2018,341.339996,347.429993,341.170013,344.850006,332.226807,4340200,Positive
2/15/2018,348.470001,356.549988,348.049988,356.459991,343.411835,5827500,Positive
2/16/2018,356.589996,359.5,353.51001,355.040009,342.043854,5211600,Negative
2/20/2018,352,357.790009,351.399994,353.350006,340.41568,4303400,Positive
2/21/2018,352.559998,360.809998,351.75,352.369995,339.471527,5258600,Negative
2/22/2018,354.649994,358.070007,352.640015,355.920013,342.891602,3414300,Positive
2/23/2018,358.179993,358.769989,353.070007,356.660004,343.604523,3355400,Negative
2/26/2018,359.5,364.049988,358.209991,363.480011,350.174866,4148100,Positive
2/27/2018,364.600006,369.890015,363.299988,364.640015,351.29245,4774100,Positive
2/28/2018,366.799988,371.600006,362.209991,362.209991,348.951355,5472900,Negative
3/1/2018,362.329987,362.73999,346.399994,349.690002,336.889618,8978000,Negative
3/2/2018,341.820007,346.089996,335.299988,344.670013,332.053436,10021300,Positive
3/5/2018,338,354.769989,336.609985,352.75,339.837616,8140200,Positive
3/6/2018,354.23999,355.209991,346.019989,348.920013,336.147858,4888300,Negative
3/7/2018,341.519989,348.410004,339.5,347.040009,334.3367,4575700,Positive
3/8/2018,349.51001,352.5,343.950012,348.730011,335.964783,4319900,Negative
3/9/2018,352.649994,354.890015,350.230011,354.519989,341.542908,3538300,Positive
3/12/2018,355.200012,355.230011,343.26001,344.190002,331.591003,6088800,Negative
3/13/2018,345.320007,347.880005,337.609985,338.670013,326.27301,5443800,Negative
3/14/2018,339.790009,340.519989,322.299988,330.26001,318.170898,13057900,Negative
3/15/2018,332.299988,332.920013,322.910004,329.980011,317.901123,8766000,Negative
3/16/2018,329.820007,330.829987,325.630005,330.470001,318.373199,9329000,Positive
